* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_R.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_R.wav
* Measurement: captured_sweep_R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
122.314453 55.925 177.1844
122.680664 56.009 176.7402
123.046875 55.977 175.7872
123.413086 55.766 175.1145
123.779297 55.460 175.7717
124.145508 55.291 177.9814
124.511719 55.451 -179.6945
124.877930 55.838 -179.2329
125.244141 56.149 178.8861
125.610352 56.145 175.8933
125.976562 55.786 173.8710
126.342773 55.300 174.8523
126.708984 55.185 178.9951
127.075195 55.773 -177.0564
127.441406 56.755 -176.8629
127.807617 57.602 179.4076
128.173828 58.015 173.5665
128.540039 57.909 167.7150
128.906250 57.351 163.9214
129.272461 56.595 164.0427
129.638672 56.135 168.4209
130.004883 56.382 174.1217
130.371094 57.161 177.2981
130.737305 58.000 177.0713
131.103516 58.620 174.6819
131.469727 58.962 171.5394
131.835938 59.078 168.5701
132.202148 59.050 166.1852
132.568359 58.949 164.4299
132.934570 58.815 163.2100
133.300781 58.674 162.4647
133.666992 58.560 162.1418
134.033203 58.513 162.0200
134.399414 58.548 161.6311
134.765625 58.613 160.4911
135.131836 58.602 158.4808
135.498047 58.406 156.0491
135.864258 57.967 154.1846
136.230469 57.342 154.2339
136.596680 56.774 157.2998
136.962891 56.655 162.7894
137.329102 57.172 167.7264
137.695312 58.050 169.4333
138.061523 58.881 167.7222
138.427734 59.422 163.8622
138.793945 59.594 159.3488
139.160156 59.427 155.5527
139.526367 59.044 153.6284
139.892578 58.680 154.1373
140.258789 58.604 156.3253
140.625000 58.914 158.1346
140.991211 59.430 157.7893
141.357422 59.865 154.9915
141.723633 60.004 150.5530
142.089844 59.727 145.7676
142.456055 59.004 142.2659
142.822266 57.939 142.1151
143.188477 56.942 147.2130
143.554688 56.726 156.2971
143.920898 57.505 163.5896
144.287109 58.643 165.5538
144.653320 59.563 163.2551
145.019531 60.056 158.8834
145.385742 60.116 154.2321
145.751953 59.826 150.6376
146.118164 59.343 149.0044
146.484375 58.879 149.5709
146.850586 58.629 151.6331
147.216797 58.661 153.8373
147.583008 58.891 155.0618
147.949219 59.182 154.9183
148.315430 59.418 153.5665
148.681641 59.529 151.4055
149.047852 59.477 148.9474
149.414062 59.259 146.7909
149.780273 58.921 145.5443
150.146484 58.570 145.5989
150.512695 58.341 146.7948
150.878906 58.318 148.3373
151.245117 58.466 149.3101
151.611328 58.670 149.3392
151.977539 58.830 148.6925
152.343750 58.914 147.9097
152.709961 58.951 147.4070
153.076172 58.993 147.2711
153.442383 59.071 147.3085
153.808594 59.175 147.2877
154.174805 59.273 147.1462
154.541016 59.343 146.9946
154.907227 59.381 146.9821
155.273438 59.397 147.1930
155.639648 59.401 147.6554
156.005859 59.404 148.4016
156.372070 59.427 149.4537
156.738281 59.503 150.6980
157.104492 59.651 151.8000
157.470703 59.845 152.3560
157.836914 60.011 152.2040
158.203125 60.079 151.6003
158.569336 60.027 151.1057
158.935547 59.909 151.2565
159.301758 59.833 152.1530
159.667969 59.886 153.2606
160.034180 60.053 153.7876
160.400391 60.229 153.3723
160.766602 60.314 152.3418
161.132812 60.281 151.4156
161.499023 60.195 151.2103
161.865234 60.175 151.7926
162.231445 60.299 152.5865
162.597656 60.540 152.8679
162.963867 60.800 152.3850
163.330078 61.002 151.4491
163.696289 61.131 150.5737
164.062500 61.232 150.0764
164.428711 61.358 149.9010
164.794922 61.526 149.7533
165.161133 61.706 149.4166
165.527344 61.860 148.9247
165.893555 61.974 148.4639
166.259766 62.061 148.1632
166.625977 62.136 147.9961
166.992188 62.196 147.8810
167.358398 62.224 147.8633
167.724609 62.219 148.1588
168.090820 62.227 148.9601
168.457031 62.320 150.1252
168.823242 62.537 151.0751
169.189453 62.835 151.1385
169.555664 63.103 150.0535
169.921875 63.235 148.1302
170.288086 63.176 146.0696
170.654297 62.952 144.6753
171.020508 62.668 144.5242
171.386719 62.473 145.5867
171.752930 62.475 147.0825
172.119141 62.656 147.9763
172.485352 62.896 147.7402
172.851562 63.075 146.5697
173.217773 63.135 145.0608
173.583984 63.095 143.8137
173.950195 63.021 143.1466
174.316406 62.987 142.9680
174.682617 63.024 142.8916
175.048828 63.106 142.5614
175.415039 63.177 141.9209
175.781250 63.201 141.2228
176.147461 63.182 140.8351
176.513672 63.173 140.9819
176.879883 63.242 141.5416
177.246094 63.422 142.0507
177.612305 63.686 141.9800
177.978516 63.953 141.0824
178.344727 64.137 139.5310
178.710938 64.191 137.8230
179.077148 64.126 136.5696
179.443359 64.016 136.2173
179.809570 63.973 136.7311
180.175781 64.073 137.4849
180.541992 64.287 137.6660
180.908203 64.505 136.9142
181.274414 64.617 135.5454
181.640625 64.584 134.2920
182.006836 64.463 133.8550
182.373047 64.380 134.4277
182.739258 64.444 135.4424
183.105469 64.650 135.9650
183.471680 64.886 135.4867
183.837891 65.035 134.2391
184.204102 65.052 132.8818
184.570312 64.976 132.0232
184.936523 64.895 131.8521
185.302734 64.882 132.0574
185.668945 64.938 132.1472
186.035156 65.013 131.8898
186.401367 65.063 131.4253
186.767578 65.088 131.0164
187.133789 65.121 130.7512
187.500000 65.183 130.4738
187.866211 65.261 129.9861
188.232422 65.322 129.2849
188.598633 65.349 128.5717
188.964844 65.362 128.0393
189.331055 65.397 127.6542
189.697266 65.465 127.1658
190.063477 65.533 126.3677
190.429688 65.550 125.3494
190.795898 65.496 124.4813
191.162109 65.404 124.1465
191.528320 65.350 124.4026
191.894531 65.392 124.8540
192.260742 65.514 124.9458
192.626953 65.640 124.4325
192.993164 65.700 123.5387
193.359375 65.675 122.7346
193.725586 65.608 122.3853
194.091797 65.562 122.5039
194.458008 65.576 122.7809
194.824219 65.635 122.8828
195.190430 65.698 122.7268
195.556641 65.738 122.4705
195.922852 65.765 122.2906
196.289062 65.805 122.1912
196.655273 65.868 122.0143
197.021484 65.934 121.6262
197.387695 65.976 121.0729
197.753906 65.984 120.5474
198.120117 65.976 120.2147
198.486328 65.983 120.0612
198.852539 66.019 119.9148
199.218750 66.066 119.6309
199.584961 66.099 119.2517
199.951172 66.112 118.9722
200.317383 66.132 118.9352
200.683594 66.201 119.0392
201.049805 66.327 118.9609
201.416016 66.475 118.4175
201.782227 66.581 117.4214
202.148438 66.605 116.2983
202.514648 66.554 115.4883
202.880859 66.481 115.2693
203.247070 66.456 115.5593
203.613281 66.513 115.9626
203.979492 66.630 116.0803
204.345703 66.749 115.8010
204.711914 66.832 115.3143
205.078125 66.876 114.9044
205.444336 66.913 114.7206
205.810547 66.979 114.6748
206.176758 67.082 114.5236
206.542969 67.200 114.0607
206.909180 67.294 113.2540
207.275391 67.333 112.2479
207.641602 67.308 111.2770
208.007812 67.230 110.5685
208.374023 67.131 110.2611
208.740234 67.050 110.3472
209.106445 67.016 110.6611
209.472656 67.035 110.9513
209.838867 67.087 111.0210
210.205078 67.140 110.8427
210.571289 67.172 110.5529
210.937500 67.189 110.3286
211.303711 67.214 110.2318
211.669922 67.271 110.1473
212.036133 67.352 109.8865
212.402344 67.430 109.3767
212.768555 67.477 108.7535
213.134766 67.497 108.2584
213.500977 67.524 108.0189
213.867188 67.597 107.8918
214.233398 67.721 107.5458
214.599609 67.850 106.7540
214.965820 67.927 105.6193
215.332031 67.924 104.5300
215.698242 67.870 103.9011
216.064453 67.836 103.8589
216.430664 67.886 104.0945
216.796875 68.019 104.0840
217.163086 68.174 103.5233
217.529297 68.281 102.5393
217.895508 68.314 101.5316
218.261719 68.303 100.8514
218.627930 68.303 100.5508
218.994141 68.350 100.3755
219.360352 68.431 100.0204
219.726562 68.503 99.4069
220.092773 68.537 98.7151
220.458984 68.542 98.1848
220.825195 68.551 97.8894
221.191406 68.589 97.6783
221.557617 68.646 97.3444
221.923828 68.692 96.8477
222.290039 68.706 96.3656
222.656250 68.704 96.1245
223.022461 68.729 96.1609
223.388672 68.816 96.2247
223.754883 68.953 95.9507
224.121094 69.089 95.1553
224.487305 69.167 93.9750
224.853516 69.164 92.7626
225.219727 69.102 91.8650
225.585938 69.030 91.4272
225.952148 68.996 91.3256
226.318359 69.016 91.2823
226.684570 69.076 91.0731
227.050781 69.147 90.6431
227.416992 69.214 90.0630
227.783203 69.274 89.4147
228.149414 69.335 88.7188
228.515625 69.399 87.9441
228.881836 69.459 87.0627
229.248047 69.509 86.0865
229.614258 69.542 85.0626
229.980469 69.557 84.0485
230.346680 69.556 83.0983
230.712891 69.546 82.2622
231.079102 69.536 81.5745
231.445312 69.543 81.0188
231.811523 69.579 80.4955
232.177734 69.645 79.8423
232.543945 69.720 78.9227
232.910156 69.772 77.7244
233.276367 69.776 76.3889
233.642578 69.727 75.1475
234.008789 69.648 74.1957
234.375000 69.574 73.5737
234.741211 69.538 73.1294
235.107422 69.545 72.6138
235.473633 69.570 71.8468
235.839844 69.582 70.8198
236.206055 69.560 69.6672
236.572266 69.505 68.5581
236.938477 69.433 67.5896
237.304688 69.365 66.7443
237.670898 69.308 65.9277
238.037109 69.256 65.0505
238.403320 69.198 64.0890
238.769531 69.122 63.0896
239.135742 69.026 62.1289
239.501953 68.915 61.2657
239.868164 68.797 60.5151
240.234375 68.679 59.8531
240.600586 68.561 59.2445
240.966797 68.438 58.6735
241.333008 68.305 58.1631
241.699219 68.164 57.7657
242.065430 68.022 57.5255
242.431641 67.894 57.4285
242.797852 67.792 57.3768
243.164062 67.713 57.2227
243.530273 67.637 56.8575
243.896484 67.534 56.2981
244.262695 67.383 55.7035
244.628906 67.184 55.3118
244.995117 66.964 55.3188
245.361328 66.765 55.7604
245.727539 66.623 56.4685
246.093750 66.548 57.1589
246.459961 66.521 57.5938
246.826172 66.505 57.6902
247.192383 66.472 57.5112
247.558594 66.404 57.1895
247.924805 66.297 56.8629
248.291016 66.151 56.6593
248.657227 65.973 56.7035
249.023438 65.781 57.1117
249.389648 65.602 57.9454
249.755859 65.467 59.1482
250.122070 65.402 60.5247
250.488281 65.407 61.8112
250.854492 65.457 62.8021
251.220703 65.517 63.4407
251.586914 65.555 63.8215
251.953125 65.558 64.1301
252.319336 65.531 64.5625
252.685547 65.501 65.2451
253.051758 65.500 66.1670
253.417969 65.555 67.1543
253.784180 65.667 67.9360
254.150391 65.808 68.2946
254.516602 65.931 68.2050
254.882812 65.997 67.8669
255.249023 65.999 67.6134
255.615234 65.966 67.7400
255.981445 65.955 68.3203
256.347656 66.013 69.1260
256.713867 66.145 69.7646
257.080078 66.312 69.9625
257.446289 66.458 69.7415
257.812500 66.553 69.3588
258.178711 66.605 69.0994
258.544922 66.650 69.0756
258.911133 66.718 69.1647
259.277344 66.808 69.1409
259.643555 66.887 68.8997
260.009766 66.923 68.5710
260.375977 66.914 68.4319
260.742188 66.895 68.6919
261.108398 66.918 69.2983
261.474609 67.013 69.9277
261.840820 67.163 70.2123
262.207031 67.316 70.0071
262.573242 67.425 69.4565
262.939453 67.478 68.8512
263.305664 67.496 68.4261
263.671875 67.515 68.2275
264.038086 67.562 68.1206
264.404297 67.637 67.9207
264.770508 67.723 67.5275
265.136719 67.802 66.9565
265.502930 67.867 66.2756
265.869141 67.918 65.5341
266.235352 67.954 64.7509
266.601562 67.972 63.9528
266.967773 67.968 63.2063
267.333984 67.948 62.5999
267.700195 67.928 62.1854
268.066406 67.923 61.9312
268.432617 67.945 61.7324
268.798828 67.989 61.4755
269.165039 68.042 61.0985
269.531250 68.091 60.6030
269.897461 68.128 60.0251
270.263672 68.148 59.4083
270.629883 68.148 58.8014
270.996094 68.130 58.2651
271.362305 68.100 57.8582
271.728516 68.071 57.5978
272.094727 68.056 57.4327
272.460938 68.057 57.2699
272.827148 68.064 57.0481
273.193359 68.067 56.7935
273.559570 68.065 56.5920
273.925781 68.075 56.4902
274.291992 68.116 56.4043
274.658203 68.190 56.1365
275.024414 68.274 55.5120
275.390625 68.326 54.5253
275.756836 68.313 53.3748
276.123047 68.230 52.3699
276.489258 68.106 51.7727
276.855469 67.988 51.6544
277.221680 67.919 51.8539
277.587891 67.909 52.0906
277.954102 67.939 52.1528
278.320312 67.981 52.0006
278.686523 68.019 51.7155
279.052734 68.055 51.3749
279.418945 68.098 50.9677
279.785156 68.145 50.4133
280.151367 68.180 49.6610
280.517578 68.180 48.7787
280.883789 68.134 47.9564
281.250000 68.055 47.4147
281.616211 67.982 47.2639
281.982422 67.956 47.3995
282.348633 67.996 47.5341
282.714844 68.082 47.3784
283.081055 68.172 46.8336
283.447266 68.225 46.0339
283.813477 68.232 45.2328
284.179688 68.213 44.6270
284.545898 68.199 44.2332
284.912109 68.208 43.9005
285.278320 68.230 43.4637
285.644531 68.238 42.9032
286.010742 68.216 42.3678
286.376953 68.177 42.0393
286.743164 68.156 41.9456
287.109375 68.180 41.8804
287.475586 68.237 41.5394
287.841797 68.281 40.7754
288.208008 68.260 39.7452
288.574219 68.156 38.8378
288.940430 68.002 38.4417
289.306641 67.872 38.6682
289.672852 67.836 39.1975
290.039062 67.902 39.4508
290.405273 68.009 39.0088
290.771484 68.075 37.8809
291.137695 68.046 36.4365
291.503906 67.923 35.1527
291.870117 67.753 34.3538
292.236328 67.601 34.0422
292.602539 67.506 33.9244
292.968750 67.458 33.6571
293.334961 67.414 33.1207
293.701172 67.338 32.4805
294.067383 67.234 32.0177
294.433594 67.141 31.8745
294.799805 67.104 31.8921
295.166016 67.132 31.6920
295.532227 67.178 30.9719
295.898438 67.174 29.7523
296.264648 67.074 28.3816
296.630859 66.879 27.3441
296.997070 66.644 26.9893
297.363281 66.450 27.2914
297.729492 66.348 27.8213
298.095703 66.317 28.0557
298.461914 66.287 27.7804
298.828125 66.192 27.2158
299.194336 66.017 26.8215
