* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_L.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_L.wav
* Measurement: captured_sweep_L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
112.060547 51.637 6.1836
112.426758 51.920 4.9843
112.792969 52.231 3.2590
113.159180 52.489 0.2084
113.525391 52.501 -3.9795
113.891602 52.137 -7.9576
114.257812 51.452 -9.7679
114.624023 50.774 -7.9879
114.990234 50.565 -3.8137
115.356445 50.884 -0.8783
115.722656 51.293 -0.9698
116.088867 51.412 -2.7828
116.455078 51.177 -3.9489
116.821289 50.817 -2.6487
117.187500 50.724 0.9634
117.553711 51.090 4.4723
117.919922 51.713 5.7662
118.286133 52.307 4.7631
118.652344 52.736 2.3215
119.018555 52.978 -0.9172
119.384766 53.011 -4.6675
119.750977 52.769 -8.5342
120.117188 52.181 -11.4891
120.483398 51.295 -11.6591
120.849609 50.488 -7.1802
121.215820 50.436 0.4894
121.582031 51.253 5.6233
121.948242 52.246 5.2957
122.314453 52.838 1.1249
122.680664 52.830 -4.1667
123.046875 52.253 -7.9991
123.413086 51.346 -8.0729
123.779297 50.614 -3.4756
124.145508 50.549 3.3612
124.511719 51.079 8.5846
124.877930 51.810 11.1013
125.244141 52.548 11.7393
125.610352 53.284 10.9434
125.976562 53.983 8.4702
126.342773 54.515 4.2515
126.708984 54.730 -1.0227
127.075195 54.555 -5.9437
127.441406 54.070 -8.7074
127.807617 53.600 -8.0256
128.173828 53.605 -5.1066
128.540039 54.154 -3.7045
128.906250 54.790 -5.9879
129.272461 55.043 -10.9886
129.638672 54.681 -16.2877
130.004883 53.695 -18.7903
130.371094 52.461 -14.9951
130.737305 51.965 -4.6188
131.103516 52.740 4.7607
131.469727 53.906 7.8663
131.835938 54.684 6.9290
132.202148 54.939 5.5874
132.568359 54.914 6.3629
132.934570 55.053 9.5719
133.300781 55.640 12.7478
133.666992 56.491 13.1680
134.033203 57.239 10.3925
134.399414 57.659 5.4623
134.765625 57.676 -0.4403
135.131836 57.279 -6.3888
135.498047 56.458 -11.5421
135.864258 55.192 -14.6458
136.230469 53.559 -13.2858
136.596680 52.139 -4.2501
136.962891 52.202 9.7123
137.329102 53.748 17.4010
137.695312 55.411 15.8503
138.061523 56.487 8.7844
138.427734 56.822 -0.3973
138.793945 56.410 -9.0310
139.160156 55.339 -14.2366
139.526367 54.020 -12.5773
139.892578 53.499 -3.6233
140.258789 54.404 4.5555
140.625000 55.815 5.9363
140.991211 56.889 2.5094
141.357422 57.422 -2.3894
141.723633 57.504 -6.4347
142.089844 57.354 -8.3689
142.456055 57.231 -8.1982
142.822266 57.287 -7.0979
143.188477 57.471 -6.2957
143.554688 57.644 -6.0348
143.920898 57.744 -5.7883
144.287109 57.821 -5.0907
144.653320 57.966 -4.1147
145.019531 58.207 -3.5681
145.385742 58.464 -4.0337
145.751953 58.620 -5.4990
146.118164 58.595 -7.4337
146.484375 58.374 -9.0897
146.850586 58.012 -9.7576
147.216797 57.622 -8.9993
147.583008 57.353 -6.9065
147.949219 57.318 -4.2129
148.315430 57.523 -1.9575
148.681641 57.877 -0.8683
149.047852 58.258 -1.0673
149.414062 58.576 -2.2382
149.780273 58.792 -3.9230
150.146484 58.902 -5.7170
150.512695 58.918 -7.3269
150.878906 58.856 -8.5255
151.245117 58.737 -9.0729
151.611328 58.604 -8.7227
151.977539 58.539 -7.4106
152.343750 58.630 -5.5328
152.709961 58.902 -3.9297
153.076172 59.272 -3.3561
153.442383 59.601 -3.9396
153.808594 59.784 -5.1538
154.174805 59.801 -6.1598
154.541016 59.730 -6.2544
154.907227 59.714 -5.3490
155.273438 59.863 -4.1843
155.639648 60.148 -3.8027
