* Measurement data measured by REW V5.31.3
* Source: /home/delab/repos/sound_calibration/data/captured_sweep_LR.wav
* Format: 256k Log Swept Sine, 1 sweep using an acoustic timing reference
* Dated: 28-May-2026 19:28:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement generated from imported files Stimulus: 256kMeasSweep_0_to_20000_-12_dBFS_48k_Float_mono.wav Response: captured_sweep_LR.wav
* Measurement: captured_sweep_LR
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
150.146484 49.034 65.2075
150.512695 49.578 72.7512
150.878906 50.908 72.2400
151.245117 51.868 65.3164
151.611328 52.066 56.2246
151.977539 51.454 48.7581
152.343750 50.270 47.0630
152.709961 49.447 54.0603
153.076172 50.136 63.3748
153.442383 51.646 65.4485
153.808594 52.773 61.0544
154.174805 53.106 54.4810
154.541016 52.662 49.4958
154.907227 51.776 49.4893
155.273438 51.258 55.5312
155.639648 51.772 62.2354
156.005859 52.784 63.6584
156.372070 53.490 60.3042
156.738281 53.578 55.2361
157.104492 53.065 51.3752
157.470703 52.211 51.1743
157.836914 51.555 55.5012
158.203125 51.607 61.5676
158.569336 52.247 65.0789
158.935547 52.977 64.8279
159.301758 53.478 62.0010
159.667969 53.651 58.0532
160.034180 53.483 54.1929
160.400391 53.013 51.6045
160.766602 52.377 51.5762
161.132812 51.898 54.8030
161.499023 51.970 59.6865
161.865234 52.601 62.6550
162.231445 53.355 61.8135
162.597656 53.817 57.9946
162.963867 53.791 53.1489
163.330078 53.265 49.4578
163.696289 52.436 49.0569
164.062500 51.772 52.8936
164.428711 51.772 58.5020
164.794922 52.341 61.5549
165.161133 52.947 60.6873
165.527344 53.224 57.3491
165.893555 53.072 53.6016
166.259766 52.581 51.3013
166.625977 52.012 51.6616
166.992188 51.735 54.2241
167.358398 51.929 56.4414
167.724609 52.358 55.9270
168.090820 52.620 52.5166
168.457031 52.419 47.7671
168.823242 51.612 44.2666
169.189453 50.315 45.8899
169.555664 49.384 56.3792
169.921875 50.191 70.1011
